               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.021333,           0.0077217,            0.011692,             0.85079,                   1,             0.98667,             0.77945,            0.012352,           0.0029549,           0.0039337,           0.0047035,           0.0047035,           0.0047035
                 109,            0.022374,           0.0075485,             0.01109,             0.87931,             0.99491,               0.995,             0.76324,            0.011925,           0.0029535,           0.0040639,            0.004654,            0.004654,            0.004654
                 110,            0.020992,           0.0071608,            0.014116,              0.8911,             0.99618,             0.98667,             0.74696,            0.012732,           0.0030349,           0.0039983,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020153,            0.007466,             0.01131,              0.8565,              0.9355,              0.9825,             0.76942,            0.012621,           0.0030106,           0.0039344,            0.004555,            0.004555,            0.004555
                 112,            0.020163,            0.007156,           0.0088838,              0.8064,             0.93621,             0.97417,             0.77053,            0.012166,           0.0030318,           0.0039151,           0.0045055,           0.0045055,           0.0045055
                 113,            0.020369,           0.0076647,            0.011357,             0.71905,             0.92708,             0.92983,             0.73692,            0.011206,           0.0030372,           0.0081369,            0.004456,            0.004456,            0.004456
                 114,            0.021005,           0.0073752,            0.013478,             0.74049,              0.9375,             0.96668,             0.77456,            0.011293,           0.0031569,           0.0060521,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022093,           0.0075541,            0.013385,             0.76294,             0.96527,               0.957,             0.72736,             0.01156,           0.0030516,           0.0064887,            0.004357,            0.004357,            0.004357
                 116,            0.019054,           0.0073161,            0.013062,             0.77045,             0.92621,             0.97223,             0.76949,            0.012313,           0.0034086,           0.0077374,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022265,           0.0079836,            0.013363,             0.81469,             0.92544,             0.98096,             0.77352,            0.011747,           0.0032514,           0.0071264,            0.004258,            0.004258,            0.004258
                 118,            0.020504,           0.0077168,            0.011605,             0.88727,              0.9375,              0.9825,             0.74222,            0.012047,           0.0032986,           0.0040951,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019982,           0.0068974,           0.0097664,             0.95127,             0.97938,               0.995,             0.78177,            0.011888,           0.0031735,            0.003632,            0.004159,            0.004159,            0.004159
                 120,            0.020973,           0.0080483,            0.014182,             0.96009,             0.98608,               0.995,             0.78384,            0.011393,           0.0029938,           0.0037395,           0.0041095,           0.0041095,           0.0041095
                 121,             0.02034,           0.0071341,            0.010941,             0.95236,                   1,               0.995,              0.7985,            0.011452,           0.0029234,           0.0039351,             0.00406,             0.00406,             0.00406
